#RPLIDAR SCAN DATA
#COUNT=864
#Angule	Distance	Quality
0.4834 159.0 188
0.8075 159.0 188
1.0767 160.0 188
1.4063 160.0 188
1.6699 161.0 188
2.0105 161.0 188
2.2797 162.0 188
2.5433 163.0 188
2.8894 163.0 188
3.1531 164.0 188
3.4827 165.0 188
3.7463 166.0 188
4.0265 167.0 188
4.2957 168.0 188
4.5758 169.0 188
4.7955 171.0 188
5.0592 172.0 188
5.3888 173.0 188
8.5419 201.0 188
8.7012 205.0 188
8.9648 207.0 188
9.2450 209.0 188
9.5746 210.0 188
9.8438 211.0 188
10.1239 213.0 188
10.3876 214.0 188
10.7172 215.0 188
10.9973 217.0 188
11.2610 218.0 188
11.5906 218.0 188
11.9202 219.0 188
12.2607 219.0 188
12.5299 220.0 188
12.8540 221.0 188
13.1836 221.0 188
13.4637 222.0 188
13.7933 222.0 188
14.1229 222.0 188
14.4525 223.0 188
14.7766 223.0 188
15.1062 223.0 188
15.3699 224.0 188
15.6995 225.0 188
16.0291 225.0 188
16.3696 225.0 188
16.6388 226.0 188
16.9684 227.0 188
17.2321 228.0 188
17.5781 228.0 188
17.9022 229.0 188
18.1714 230.0 188
18.4955 230.0 188
18.9349 227.0 188
19.3854 223.0 188
19.7644 220.0 188
20.1544 218.0 188
20.5444 217.0 188
20.8740 216.0 188
21.2476 215.0 188
21.5771 215.0 188
21.9177 215.0 188
22.2473 215.0 188
22.5110 216.0 188
22.8406 217.0 188
23.1207 218.0 188
23.4503 218.0 188
23.7799 219.0 188
24.0436 220.0 188
24.3732 221.0 188
24.6533 223.0 188
24.9170 224.0 188
25.2026 226.0 188
26.4990 241.0 188
26.8231 241.0 188
27.1692 241.0 188
27.4988 240.0 188
27.8229 240.0 188
28.1525 240.0 188
28.5425 238.0 188
28.9325 236.0 188
29.3115 234.0 188
29.6356 232.0 188
29.9817 232.0 188
30.3552 230.0 188
30.7452 228.0 188
31.2012 225.0 188
31.5747 222.0 188
32.0306 219.0 188
32.4042 217.0 188
32.7448 216.0 188
33.1238 215.0 188
33.5138 213.0 188
33.8434 213.0 188
34.1840 213.0 188
34.5135 212.0 188
34.8871 211.0 188
35.1672 212.0 188
35.5573 211.0 188
35.8868 211.0 188
36.2164 211.0 188
36.4966 212.0 188
36.8262 212.0 188
37.1558 212.0 188
37.4799 212.0 188
37.8094 213.0 188
38.0896 214.0 188
38.4192 215.0 188
38.7488 215.0 188
39.0729 215.0 188
39.3585 216.0 188
39.6826 216.0 188
40.0122 217.0 188
40.2924 218.0 188
40.6219 219.0 188
40.9021 220.0 188
41.2317 220.0 188
41.5613 220.0 188
41.8854 221.0 188
42.1710 222.0 188
42.4951 222.0 188
42.8247 223.0 188
43.1543 223.0 188
43.4839 223.0 188
43.8080 223.0 188
44.0936 224.0 188
44.4177 224.0 188
44.7473 224.0 188
45.0934 224.0 188
45.4175 225.0 188
45.7471 225.0 188
46.0767 225.0 188
46.4063 225.0 188
46.6864 226.0 188
47.0105 226.0 188
47.3401 227.0 188
47.6697 227.0 188
47.9993 227.0 188
48.3398 227.0 188
48.6090 228.0 188
48.9331 229.0 188
49.2627 229.0 188
49.6088 229.0 188
49.9329 229.0 188
50.2625 229.0 188
50.5426 230.0 188
50.8722 231.0 188
51.2018 231.0 188
51.5259 231.0 188
51.8115 232.0 188
52.1356 233.0 188
52.4652 233.0 188
52.7948 234.0 188
53.1244 234.0 188
53.4045 235.0 188
53.7341 235.0 188
54.0582 236.0 188
54.3384 237.0 188
54.6680 237.0 188
54.9976 237.0 188
55.3271 237.0 188
55.6512 238.0 188
55.9973 238.0 188
56.2610 239.0 188
56.5906 240.0 188
56.9202 241.0 188
57.2003 242.0 188
57.5299 242.0 188
57.8540 243.0 188
58.1396 244.0 188
58.4637 245.0 188
58.7494 246.0 188
59.0735 248.0 188
59.3427 249.0 188
59.6228 251.0 188
59.9524 253.0 188
60.2325 256.0 188
61.1060 260.0 188
61.8585 313.0 188
62.1387 316.0 188
62.4683 317.0 188
62.7484 320.0 188
63.0780 323.0 188
63.3417 327.0 188
63.6218 331.0 188
63.9020 335.0 188
64.1711 340.0 188
64.4513 345.0 188
64.7150 347.0 188
65.1050 344.0 188
65.4346 344.0 188
65.7642 343.0 188
66.1047 342.0 188
66.4838 341.0 188
66.7639 344.0 188
67.0441 347.0 188
67.3737 347.0 188
67.6978 348.0 188
68.0273 351.0 188
68.3075 354.0 188
68.5767 357.0 188
68.9063 360.0 188
69.1864 364.0 188
69.5105 367.0 188
69.7961 371.0 188
70.0598 375.0 188
70.3400 379.0 188
71.3892 415.0 188
71.6528 418.0 188
71.9824 418.0 188
73.4821 362.0 188
73.8116 363.0 188
74.1357 365.0 188
74.4818 367.0 188
74.7455 369.0 188
75.3552 373.0 188
75.9485 421.0 188
76.2341 424.0 188
76.5582 427.0 188
76.8878 427.0 188
77.2778 421.0 188
77.6678 415.0 188
77.9974 415.0 188
79.0906 446.0 188
79.4202 444.0 188
79.7498 443.0 188
80.0903 442.0 188
80.4199 441.0 188
80.7495 441.0 188
81.0736 442.0 188
81.4032 442.0 188
81.7328 443.0 188
82.7325 446.0 188
83.2159 526.0 188
85.7153 2812.0 188
86.0449 2824.0 188
86.3855 2852.0 188
86.7151 2892.0 188
87.0447 2896.0 188
87.3743 2904.0 188
87.6984 2900.0 188
88.0280 2892.0 188
88.3575 2904.0 188
88.6871 2900.0 188
89.0112 2904.0 188
90.0110 2900.0 188
91.1206 1092.0 188
91.4502 1096.0 188
91.7798 1098.0 188
92.1094 1098.0 188
92.4335 1098.0 188
92.7631 1098.0 188
93.1091 1098.0 188
93.4332 1100.0 188
93.7628 1102.0 188
94.0924 1106.0 188
94.4165 1110.0 188
94.7461 1116.0 188
95.0262 1122.0 188
95.3558 1124.0 188
95.7294 1110.0 188
96.7291 1086.0 188
97.0587 1072.0 188
97.4487 1058.0 188
97.7783 1054.0 188
98.1079 1042.0 188
98.4375 1032.0 188
98.7616 1032.0 188
99.0912 1032.0 188
99.4208 1034.0 188
99.7449 1036.0 188
100.0745 1046.0 188
100.4041 1064.0 188
100.6842 1072.0 188
101.0742 1068.0 188
101.3434 1072.0 188
101.6675 1078.0 188
101.9971 1076.0 188
102.3267 1080.0 188
102.6672 1082.0 188
102.9968 1084.0 188
103.3264 1088.0 188
103.6560 1092.0 188
103.9801 1098.0 188
104.3097 1104.0 188
104.6393 1108.0 188
104.9634 1112.0 188
105.2490 1118.0 188
105.5731 1122.0 188
105.9027 1120.0 188
106.2927 1114.0 188
106.6223 1110.0 188
106.9519 1110.0 188
107.2760 1114.0 188
107.5616 1124.0 188
107.8857 1134.0 188
108.2153 1136.0 188
108.5449 1138.0 188
108.8745 1138.0 188
109.1986 1136.0 188
109.5282 1138.0 188
110.6378 1034.0 188
110.9674 1030.0 188
111.2915 1028.0 188
111.6211 1026.0 188
112.0111 1024.0 188
112.2803 1026.0 188
112.6044 1026.0 188
112.9340 1028.0 188
113.2635 1030.0 188
113.6041 1032.0 188
113.9337 1032.0 188
114.2633 1036.0 188
114.5929 1040.0 188
114.9170 1046.0 188
115.2466 1056.0 188
115.5762 1068.0 188
115.8563 1084.0 188
117.2955 672.0 188
117.6196 674.0 188
117.9492 678.0 188
118.2788 682.0 188
118.5590 686.0 188
118.8885 692.0 188
119.2181 696.0 188
120.2179 700.0 188
121.4374 482.0 188
121.7615 475.0 188
122.1515 470.0 188
122.4811 467.0 188
122.8107 464.0 188
123.2007 460.0 188
123.5303 457.0 188
123.9203 454.0 188
124.2499 451.0 188
124.5740 449.0 188
124.9036 448.0 188
125.2936 446.0 188
125.6232 444.0 188
125.9528 442.0 188
126.2769 441.0 188
126.6064 441.0 188
126.9360 440.0 188
127.2656 440.0 188
127.5897 440.0 188
127.9358 440.0 188
128.2654 440.0 188
128.5895 441.0 188
128.9191 441.0 188
129.2487 442.0 188
129.5728 443.0 188
129.9023 445.0 188
130.2319 446.0 188
130.5121 449.0 188
130.8417 451.0 188
131.1713 453.0 188
132.1545 450.0 188
132.6984 468.0 188
133.0884 461.0 188
134.6869 468.0 188
135.0110 469.0 188
135.4010 459.0 188
135.7965 453.0 188
136.1206 454.0 188
136.3898 456.0 188
136.7139 458.0 188
137.0599 460.0 188
137.3895 463.0 188
137.9828 468.0 188
138.5266 558.0 188
138.8562 558.0 188
139.1858 554.0 188
139.5154 552.0 188
139.7955 560.0 188
140.5591 542.0 188
140.8887 536.0 188
141.2787 534.0 188
141.6083 532.0 188
141.9324 530.0 188
142.2620 530.0 188
142.5916 530.0 188
142.9321 530.0 188
143.2617 530.0 188
143.5913 530.0 188
143.9209 532.0 188
144.2450 526.0 188
144.6844 512.0 188
146.2335 526.0 188
146.6071 516.0 188
146.9971 502.0 188
147.3871 493.0 188
147.7771 491.0 188
148.1067 490.0 188
148.4363 489.0 188
148.7604 487.0 188
149.0900 488.0 188
149.4196 488.0 188
149.7491 489.0 188
150.6830 492.0 188
151.0620 552.0 188
151.3861 554.0 188
151.7157 556.0 188
151.9794 562.0 188
152.3090 564.0 188
152.6385 568.0 188
152.9681 570.0 188
153.2483 576.0 188
153.5120 586.0 188
153.8416 594.0 188
154.1217 602.0 188
154.4348 606.0 188
154.7644 610.0 188
155.0446 616.0 188
155.3741 618.0 188
155.6982 618.0 188
156.0278 620.0 188
156.3574 622.0 188
156.6870 620.0 188
157.0111 620.0 188
157.3407 622.0 188
157.6703 622.0 188
157.9999 622.0 188
158.3240 624.0 188
158.6536 624.0 188
158.9832 626.0 188
159.3073 628.0 188
159.5764 632.0 188
159.9060 636.0 188
160.2301 642.0 188
160.8234 648.0 188
161.3892 594.0 188
161.9824 600.0 188
162.5757 730.0 188
162.9053 732.0 188
163.2294 736.0 188
163.5590 742.0 188
164.4818 754.0 188
165.3278 3960.0 188
165.6519 3948.0 188
165.9814 3940.0 188
